artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,track_name_id
1,2022,7,15,4511,36,751134527,70,58,109,18,230,94,0,0,0.14,0.59,0.65,0.18,0.25,0.03,67
1,2012,5,14,16413,61,2282771485,166,87,1056,1,0,124,1,0,0.41,0.81,0.05,0.02,0.1,0.03,68
2,2022,7,6,8506,45,1356565093,94,65,164,14,176,128,1,0,0.55,0.78,0.01,0.03,0.23,0.04,69
1,2008,1,1,33898,62,1592909789,233,0,4095,9,0,138,0,0,0.42,0.62,0.09,0.0,0.11,0.03,70
1,2022,7,17,3246,23,635412045,94,85,68,1,84,132,1,0,0.27,0.48,0.5,0.0,0.12,0.03,71
2,2022,9,22,8576,42,1230675890,216,108,331,26,154,131,1,1,0.24,0.47,0.01,0.0,0.27,0.09,72
2,2022,12,20,3618,38,585695368,47,74,80,14,194,168,0,1,0.58,0.73,0.05,0.0,0.1,0.07,73
1,1975,1,1,31123,55,2009094673,300,65,1003,1,0,102,1,0,0.5,0.73,0.43,0.0,0.15,0.04,74
2,2022,4,22,2790,30,600976848,60,96,71,0,115,101,1,0,0.32,0.57,0.78,0.0,0.2,0.03,75
1,2023,7,7,139,17,39228929,16,72,5,0,8,142,1,0,0.2,0.64,0.01,0.0,0.12,0.03,76
2,2021,7,9,17050,36,2665343922,492,99,798,31,0,170,1,0,0.48,0.76,0.04,0.0,0.1,0.05,77
2,2023,3,3,2114,44,223633238,80,75,110,11,323,124,0,1,0.7,0.68,0.03,0.01,0.11,0.04,78
1,2018,11,8,17836,53,2887241814,440,125,1800,0,0,110,1,0,0.45,0.41,0.75,0.0,0.11,0.03,79
2,2022,5,6,8870,43,1440757818,104,120,141,26,49,92,0,1,0.43,0.71,0.09,0.0,0.09,0.08,80
1,2015,6,22,6060,53,165484133,150,148,2703,22,1451,116,1,1,0.4,0.66,0.39,0.51,0.25,0.07,81
2,2012,6,20,641,50,58054811,1,52,8,0,1170,129,1,0,0.84,0.82,0.7,0.08,0.09,0.07,82
1,2023,3,24,1446,12,157058870,57,97,35,0,429,98,1,1,0.67,0.6,0.19,0.0,0.12,0.03,83
1,2023,3,17,804,25,95131998,29,76,24,0,162,172,0,1,0.76,0.76,0.06,0.0,0.1,0.09,84
2,2023,3,17,1962,38,250305248,28,89,29,5,82,150,1,1,0.14,0.76,0.04,0.0,0.1,0.04,85
1,2020,6,5,31,39,38411956,2,107,8,0,0,88,0,0,0.34,0.47,0.09,0.0,0.83,0.04,86
2,2023,5,12,2175,23,144565150,69,145,69,2,478,143,1,1,0.69,0.44,0.15,0.0,0.1,0.33,87
1,2023,3,17,2000,46,127567540,49,105,63,1,0,100,0,0,0.17,0.35,0.71,0.09,0.11,0.03,88
1,2022,12,9,2839,25,399686758,58,156,42,1,236,143,1,0,0.39,0.55,0.14,0.0,0.11,0.13,89
1,2011,1,1,20333,52,983637508,89,143,1632,3,200,112,0,0,0.24,0.66,0.07,0.0,0.12,0.03,90
1,2023,6,9,674,47,118482347,20,106,25,4,78,93,1,0,0.57,0.59,0.03,0.0,0.38,0.03,91
1,2012,1,1,8448,23,882831184,160,110,163,0,5,206,1,0,0.5,0.55,0.5,0.0,0.15,0.1,92
3,2022,12,2,2110,58,286400165,17,119,19,2,266,88,0,1,0.17,0.71,0.15,0.0,0.11,0.05,93
1,2023,4,14,2528,39,172825906,56,91,59,3,486,170,1,0,0.37,0.9,0.0,0.0,0.12,0.05,94
1,2004,1,1,12985,61,1241559043,49,98,2394,5,204,84,0,0,0.24,0.67,0.21,0.0,0.13,0.28,95
1,2023,7,7,77,35,29562220,8,166,4,4,34,134,0,1,0.53,0.72,0.51,0.0,0.12,0.05,96
1,2022,4,20,266,27,77309611,6,40,6,6,202,158,1,0,0.5,0.4,0.61,0.0,0.1,0.06,97
3,2017,11,10,21097,52,1605224506,384,135,1034,37,312,116,1,1,0.92,0.8,0.04,0.0,0.1,0.03,98
1,2017,4,28,3423,21,1116995633,41,100,59,1,32,117,1,0,0.45,0.69,0.02,0.0,0.09,0.03,99
